Casual,218.93179000000001,0.60211998990575477,I Didn't Mean To,0
The Box Tops,148.03546,nan,Soul Deep,1969
Sonora Santanera,177.47546,nan,Amor De Cabaret,0
Adam Ant,233.40362999999999,nan,Something Girls,1982
Gob,209.60607999999999,0.6045007385888197,Face the Ashes,2007
Jeff And Sheri Easter,267.70240000000001,nan,The Moon And I (Ordinary Day Album Version),0
Rated R,114.78158999999999,nan,Keepin It Real (Skit),0
Tweeterfriendly Music,189.57015999999999,nan,Drop of Rain,0
Planet P Project,269.81832000000003,0.26586104921065007,Pink World,1984
Clp,266.39627999999999,nan,Insatiable (Instrumental Version),0
JennyAnyKind,218.77506,0.0,Young Boy Blues,0
Wayne Watson,245.21098000000001,0.26586104921065007,The Urgency (LP Version),0
Andy Andy,226.35057,0.0,La Culpa,0
Bob Azzam,191.84280999999999,0.0,Auguri Cha Cha,0
Lionel Richie,307.38240000000002,nan,Tonight Will Be Alright,1986
Blue Rodeo,491.12770999999998,0.40511572169138649,Floating,1987
Richard Souther,228.59710000000001,0.33470654906922059,High Tide,0
Faiz Ali Faiz,599.24852999999996,nan,Sohna Nee Sohna Data,0
Tesla,290.29831999999999,0.68413619122949032,Caught In A Dream,2004
lextrical,165.69424000000001,0.0,Synthetic Dream,0
Jimmy Wakely,151.84934000000001,nan,Broken-Down Merry-Go-Round,0
Alice Stuart,220.78648999999999,0.0,Kassie Jones,0
Elena,269.58321999999998,0.31356211424793418,Setanta matins,0
The Dillinger Escape Plan,207.77751000000001,0.66652784622970229,Setting Fire to Sleeping Giants,2004
SUE THOMPSON,124.86485,0.49529362129216348,James (Hold The Ladder Steady),1985
Five Bolt Main,225.09669,0.37598430150044215,Made Like This (Live),0
Clp,338.31137999999999,nan,Superconfidential,0
Tim Wilson,186.48770999999999,nan,I Think My Wife Is Running Around On Me (Taco Hell),2005
Willie Bobo,168.25424000000001,nan,Spanish Grease,1997
Faye Adams,156.39465000000001,0.0,Crazy Mixed Up World,1961
Terry Callier,342.56934000000001,0.41373983586010971,Do You Finally Need A Friend,1972
John Wesley,484.62322,0.3775316449767025,The Emperor Falls,0
The Shangri-Las,164.80608000000001,0.4432913119053975,Twist and Shout,1964
Billie Jo Spears,133.32853,0.0,It Makes No Difference Now,1992
Mike Jones (Featuring CJ_ Mello & Lil' Bran),173.66158999999999,nan,Laws Patrolling (Album Version),0
Sierra Maestra,313.12934000000001,nan,¿Dónde va Chichi?,1997
Butthole Surfers,450.84688999999997,0.59394307590194695,"Barking Dogs (From ""Piouhgd"")",0
Despina Vandi,303.09832,nan,OUTE ENA EFHARISTO,0
Javier Navarrete,128.83546000000001,0.39439485610058261,Midnight Swim,0
Jacob Young,456.30649,0.0,In A Subtle Way,0
Scarlet's Remains,198.73913999999999,0.45099231163625503,Spin,2007
The Suicide Machines,95.686080000000004,0.52878248094258773,Burning In The Aftermath,2003
The Rolling Stones,271.49016,0.8344926198909054,Angie (1993 Digital Remaster),0
Roberto Torres,226.66404,0.0,Sabor Guajiro,0
Loudon Wainwright III,190.48444000000001,0.51011931403303468,Human Cannonball,1995
R.L. Burnside,277.78566999999998,0.48213758506501503,Glory Be,2004
Stevie Ray Vaughan,248.78975,nan,Crossfire,1992
John Hammond,195.31710000000001,nan,I Can't Be Satisfied,2002
Casiotone For The Painfully Alone,175.72525999999999,0.78589228838835379,Nashville Parthenon,2006
Ec8or,217.23383000000001,nan,Cocain Ducks,1995
The New York Dolls,344.05831999999998,0.5616924111789523,Human Being,1974
Eliane Elias,251.42812000000001,0.43483809026085618,The More I See You,2009
Lost Boyz,269.79219999999998,0.40511572169138649,Certain Things We Do,1997
The Germs,206.05341999999999,nan,Forming,1977
Yamandu Costa,190.04035999999999,nan,Mafuá,0
Chris Rea,241.16200000000001,0.76772774837339697,Driving Home For Christmas,1986
Perrey And Kingsley,122.64444,0.43483809026085618,Spooks In Space,1966
Eurythmics,207.07220000000001,0.38293509007501925,Tous Les Garçons Et Les Filles,1985
Francis Dunnery,300.79955000000001,0.61047425777152453,Too Much Saturn,1995
John Cale,228.46648999999999,0.22655531395553141,Movement 4 [from Kiss] (Album Version),1997
Suzanne Ciani,239.59465,0.41598311828845852,Stream,0
Vickie Winans,228.93669,nan,Make Me Over,0
The Berzerker,165.61587,0.0,Deform (live),2000
Kings Of Leon,187.92444,0.68594022669768517,Wicker Chair,2003
Edith Lefel,276.50567000000001,0.0,An ti chans',0
Taras,200.25424000000001,nan,I Will Love Again (JJ's Club Radio),0
NOFX,144.50892999999999,0.67123602698453533,Stickin In My Eye,1992
Murskahumppa,285.17831999999999,nan,Ota kiinni,0
Soda Stereo,246.69995,0.62616575966882815,Entre Caníbales,1990
